Рік;1;2;3;4;5;6;7;8;9;10;11;12
2014;-4,8;-0,5;6,8;10,3;16,9;18,2;22,1;21,3;15,3;7,7;1,7;-2,1
2013;-4,3;-0,6;-1,7;10,3;18,9;21,6;20,8;19,9;12,4;9,7;6,4;-0,2
2012;-4.0;-10.0;2.5;11.8;18.1;20.0;23.6;20.4;16.2;10.1;4.6;-5.0
2011;-2.4;-6.1;1.5;10.2;16.7;21.1;21.7;19.3;15.8;7.7;2.4;2.2
2010;-8.8;-3.2;1.4;10.3;17.3;22.0;24.4;24.6;14.9;6.3;8.0;-4.2
2009;-3.3;-1.7;2.3;11.1;15.1;20.4;21.7;19.2;17.3;9.1;4.7;-3.2
2008;-3.0;0.6;4.6;10.7;14.3;18.8;20.8;21.6;13.5;10.7;3.5;-0.6
2007;2.1;-4.2;6.3;9.0;18.4;20.4;21.3;21.5;14.8;9.4;0.6;-0.9
2006;-7.5;-6.1;0.0;9.7;14.4;18.4;20.9;19.9;15.5;9.7;3.4;2.4
2005;-0.6;-5.1;-1.6;10.3;16.4;17.3;21.4;20.0;16.3;9.0;2.2;-1.0
2004;-4.3;-2.6;3.9;9.1;13.2;17.7;20.5;20.1;14.2;9.3;2.9;0.1
2003;-3.8;-6.4;0.1;6.9;19.4;18.0;21.3;19.2;14.1;6.8;3.4;-0.6
2002;-2.6;3.7;5.5;9.9;16.5;18.4;23.9;20.1;13.9;7.0;3.9;-8.4
2001;-1.0;-2.5;2.7;11.2;14.2;16.7;24.6;21.0;13.8;9.3;2.3;-7.3
2000;-4.1;0.0;1.7;12.7;15.4;17.9;19.1;20.5;12.3;9.5;4.5;1.3
1999;-2.2;-1.5;3.2;11.7;12.8;22.6;22.7;19.3;15.8;8.2;-0.2;-0.2
1998;-1.0;0.4;1.3;10.3;15.2;19.8;19.5;18.3;14.2;7.7;-3.3;-5.1
1997;-5.7;-1.1;2.1;6.1;16.1;18.3;19.4;19.2;11.8;6.2;3.2;-4.2
1996;-9.8;-7.1;-3.0;9.2;18.6;18.8;19.3;19.1;11.2;8.6;6.7;-3.9
1995;-3.9;2.2;3.5;8.8;14.0;20.1;20.5;19.8;13.8;9.0;-0.3;-5.4
1994;0.1;-5.8;1.4;10.9;13.1;16.3;21.1;19.1;17.8;8.0;1.1;-3.4
